sepal_length;sepal_width;petal_length;petal_width;class
L1;L4;L1;L1;Iris-setosa
L1;L2;L1;L1;Iris-setosa
L1;L3;L1;L1;Iris-setosa
L2;L4;L2;L2;Iris-setosa
L2;L4;L1;L1;Iris-setosa
L1;L3;L2;L1;Iris-setosa
L2;L4;L1;L2;Iris-setosa
L2;L4;L2;L1;Iris-setosa
L2;L3;L2;L1;Iris-setosa
L1;L4;L1;L2;Iris-setosa
L1;L3;L2;L2;Iris-setosa
L1;L2;L2;L1;Iris-setosa
L2;L3;L1;L1;Iris-setosa
L2;L3;L1;L2;Iris-setosa
L1;L1;L1;L1;Iris-setosa
L1;L4;L2;L2;Iris-setosa
L1;L4;L2;L1;Iris-setosa
L4;L3;L3;L3;Iris-versicolor
L3;L3;L3;L3;Iris-versicolor
L2;L1;L2;L2;Iris-versicolor
L3;L2;L3;L3;Iris-versicolor
L2;L2;L3;L2;Iris-versicolor
L1;L1;L2;L2;Iris-versicolor
L4;L2;L3;L2;Iris-versicolor
L2;L1;L2;L3;Iris-versicolor
L3;L2;L2;L3;Iris-versicolor
L3;L1;L2;L2;Iris-versicolor
L2;L2;L2;L2;Iris-versicolor
L2;L2;L3;L3;Iris-versicolor
L3;L1;L3;L3;Iris-versicolor
L3;L2;L2;L2;Iris-versicolor
L3;L2;L3;L2;Iris-versicolor
L4;L2;L3;L3;Iris-versicolor
L3;L1;L3;L2;Iris-versicolor
L2;L1;L3;L2;Iris-versicolor
L3;L3;L4;L4;Iris-virginica
L2;L1;L3;L4;Iris-virginica
L4;L2;L4;L4;Iris-virginica
L3;L2;L4;L3;Iris-virginica
L3;L2;L4;L4;Iris-virginica
L1;L1;L3;L3;Iris-virginica
L4;L2;L4;L3;Iris-virginica
L4;L1;L4;L3;Iris-virginica
L4;L4;L4;L4;Iris-virginica
L3;L3;L3;L4;Iris-virginica
L3;L1;L4;L4;Iris-virginica
L2;L2;L3;L4;Iris-virginica
L4;L1;L4;L4;Iris-virginica
L4;L3;L4;L4;Iris-virginica
L4;L3;L4;L3;Iris-virginica
L3;L1;L4;L3;Iris-virginica
L3;L3;L4;L3;Iris-virginica
L4;L3;L3;L4;Iris-virginica
L3;L1;L3;L4;Iris-virginica
